accuracy,loss,val_accuracy,val_loss,task_id,epoch
0.66651088,0.918093979,0.739018679,0.696914911,A_64,1
0.718470037,0.758519471,0.764252365,0.653948784,A_64,2
0.740204096,0.708869815,0.765887856,0.631303787,A_64,3
0.750097394,0.68093574,0.771495342,0.615967751,A_64,4
0.757419944,0.658847809,0.77897197,0.608699262,A_64,5
0.767780662,0.640973747,0.777570069,0.608637512,A_64,6
0.77011764,0.626981258,0.782943904,0.59580183,A_64,7
0.780867815,0.610740781,0.77897197,0.601430476,A_64,8
0.784217477,0.599749863,0.781542063,0.598828793,A_64,9
0.789670467,0.579580605,0.781542063,0.600610971,A_64,10
0.789904177,0.575042963,0.787149549,0.594242752,A_64,11
0.799252152,0.560325265,0.780373812,0.593189895,A_64,12
0.802913427,0.550831258,0.783177555,0.594276547,A_64,13
0.806185246,0.540930748,0.785280347,0.595948637,A_64,14
0.808288515,0.531289339,0.78831774,0.594358683,A_64,15
0.812027752,0.516898453,0.78808409,0.609316647,A_64,16
0.817247033,0.509869516,0.786214948,0.603223026,A_64,17
0.821064115,0.493694276,0.784579456,0.612061679,A_64,18
0.82449168,0.484837532,0.785513997,0.614915431,A_64,19
0.63503933,1.01986897,0.707009375,0.773789287,A_128,1
0.696346521,0.81002599,0.746261656,0.68783617,A_128,2
0.718470037,0.752510607,0.75934577,0.658174276,A_128,3
0.736464918,0.717415631,0.765887856,0.640711725,A_128,4
0.741762102,0.692833722,0.7691589,0.632569373,A_128,5
0.753602862,0.6732921,0.775700927,0.621593833,A_128,6
0.761314929,0.649405539,0.777803719,0.616080761,A_128,7
0.762872934,0.64128685,0.780140162,0.609679461,A_128,8
0.767780662,0.631095827,0.781542063,0.604988992,A_128,9
0.772065103,0.611881912,0.778037369,0.609921277,A_128,10
0.779231906,0.600825131,0.781775713,0.600807965,A_128,11
0.784606993,0.594348133,0.781775713,0.600371838,A_128,12
0.788112462,0.578870475,0.783177555,0.598812819,A_128,13
0.789592564,0.572290242,0.785046756,0.600756705,A_128,14
0.793954968,0.566291869,0.784579456,0.596197963,A_128,15
0.797927856,0.554338336,0.787616849,0.590119898,A_128,16
0.800810158,0.545342386,0.786682248,0.597561777,A_128,17
0.805795729,0.534751892,0.786682248,0.592536986,A_128,18
0.810236037,0.524318159,0.783644855,0.595955193,A_128,19
0.813585758,0.51484853,0.786214948,0.601107478,A_128,20
0.812728822,0.509712994,0.783878505,0.605401099,A_128,21
0.819350302,0.496153504,0.786214948,0.606861174,A_128,22
0.821531534,0.491858184,0.787616849,0.601126611,A_128,23
0.609488189,1.083253026,0.683644831,0.828738928,A_192,1
0.677105248,0.85425812,0.73060745,0.720555007,A_192,2
0.70647347,0.790563166,0.747196257,0.681392074,A_192,3
0.720651269,0.748929381,0.756542027,0.658878326,A_192,4
0.730077147,0.728528857,0.764252365,0.641615987,A_192,5
0.738334477,0.710318267,0.767289698,0.631985843,A_192,6
0.750798464,0.686807573,0.773130834,0.62109834,A_192,7
0.756485164,0.668581188,0.77920562,0.614122331,A_192,8
0.759367466,0.65346384,0.776401877,0.613414705,A_192,9
0.762795031,0.643342018,0.77897197,0.60681349,A_192,10
0.765755236,0.639434218,0.780841112,0.60391748,A_192,11
0.772999942,0.622963428,0.779672921,0.599956155,A_192,12
0.777751803,0.614027441,0.77943927,0.59988153,A_192,13
0.78359431,0.598254979,0.784345806,0.592722833,A_192,14
0.780322492,0.602853596,0.782943904,0.591918886,A_192,15
0.788034558,0.586009204,0.783411205,0.59099859,A_192,16
0.792942286,0.58541894,0.786915898,0.589631379,A_192,17
0.795746684,0.566748559,0.786682248,0.590082347,A_192,18
0.79823947,0.558920562,0.784112155,0.587968349,A_192,19
0.80345875,0.551296175,0.784579456,0.593080163,A_192,20
0.80392617,0.54827863,0.784579456,0.591090918,A_192,21
0.803380847,0.545153439,0.790654182,0.58536917,A_192,22
0.814676344,0.524697185,0.785513997,0.588185966,A_192,23
0.809301257,0.525342464,0.786214948,0.594610333,A_192,24
0.815766931,0.510049701,0.786214948,0.595621824,A_192,25
0.820830405,0.503842056,0.786214948,0.593464494,A_192,26
